project,date,no_bugs,bugs_rating,no_code_smells,code_smells_rating,no_vulnerabilities,vulnerabilities_rating
knox-gateway,2019-11-17 00:51:58+01:00,22,E,1706,A,86,E
knox-gateway,2019-12-30 23:44:07+01:00,1,C,1688,A,85,E
knox-gateway,2020-01-07 21:17:32+01:00,1,C,1685,A,80,E
knox-gateway,2020-02-18 18:58:48+01:00,3,E,1757,A,97,E
knox-gateway,2020-03-12 16:43:18+01:00,3,E,1788,A,100,E
knox-gateway,2020-04-14 18:08:56+02:00,3,E,1852,A,112,E
knox-gateway,2020-04-17 16:31:27+02:00,3,E,2002,A,112,E
knox-gateway,2020-04-21 17:19:34+02:00,3,E,2001,A,112,E
knox-gateway,2020-04-27 18:07:12+02:00,3,E,2002,A,112,E
knox-gateway,2020-04-27 22:57:11+02:00,3,E,2002,A,112,E
knox-gateway,2020-05-13 01:33:42+02:00,3,E,2004,A,113,E
knox-gateway,2020-06-04 04:19:17+02:00,10,E,2020,A,73,E
knox-gateway,2020-06-24 11:12:03+02:00,10,E,2043,A,74,E
knox-gateway,2020-07-24 08:29:16+02:00,10,E,2052,A,73,E
knox-gateway,2020-08-28 18:22:29+02:00,10,E,2057,A,70,E
knox-gateway,2020-09-24 21:50:07+02:00,10,E,2075,A,70,E
knox-gateway,2020-10-01 16:16:21+02:00,11,E,2073,A,70,E
knox-gateway,2020-10-23 20:50:07+02:00,11,E,2094,A,68,E
knox-gateway,2020-11-26 18:57:17+01:00,11,E,2100,A,66,E
knox-gateway,2020-12-15 21:26:43+01:00,12,E,2058,A,66,E
knox-gateway,2021-01-09 05:06:16+01:00,12,E,2091,A,66,E
knox-gateway,2021-01-17 11:11:46+01:00,12,E,2091,A,68,E
knox-gateway,2021-01-21 19:25:00+01:00,12,E,2091,A,68,E
knox-gateway,2021-01-26 22:01:49+01:00,12,E,2093,A,68,E
knox-gateway,2021-01-27 21:38:24+01:00,12,E,2093,A,68,E
